,Stock,Quantity,Month,MFundName,Fund Size
409,SRBL,13421,Ashwin 2078,LUK,652623600
410,SLICL,9000,Ashwin 2078,LUK,652623600
411,UPPER,805,Ashwin 2078,LUK,652623600
412,ADBL,2500,Ashwin 2078,NADDF,498984500
413,NBL,7640,Ashwin 2078,NADDF,498984500
414,SANIMA,4000,Ashwin 2078,NADDF,498984500
415,CCBL,6000,Ashwin 2078,NADDF,498984500
416,SRBL,2500,Ashwin 2078,NADDF,498984500
417,GBIME,1000,Ashwin 2078,NADDF,498984500
418,PCBL,4750,Ashwin 2078,NADDF,498984500
419,NABIL,1000,Ashwin 2078,NADDF,498984500
420,KSBBL,2500,Ashwin 2078,NADDF,498984500
421,CBBL,2000,Ashwin 2078,NADDF,498984500
422,MLBSL,364,Ashwin 2078,NADDF,498984500
423,NUBL,1000,Ashwin 2078,NADDF,498984500
424,JBLB,3000,Ashwin 2078,NADDF,498984500
425,MKLB,696,Ashwin 2078,NADDF,498984500
426,MLBS,354,Ashwin 2078,NADDF,498984500
427,ALICL,1250,Ashwin 2078,NADDF,498984500
428,NLICL,5500,Ashwin 2078,NADDF,498984500
429,NLIC,1000,Ashwin 2078,NADDF,498984500
430,SLICL,1000,Ashwin 2078,NADDF,498984500
431,ULI,6000,Ashwin 2078,NADDF,498984500
432,SLI,5400,Ashwin 2078,NADDF,498984500
433,AIL,1000,Ashwin 2078,NADDF,498984500
434,EIC,1151,Ashwin 2078,NADDF,498984500
435,GIC,2000,Ashwin 2078,NADDF,498984500
436,HGI,2575,Ashwin 2078,NADDF,498984500
437,IGI,1675,Ashwin 2078,NADDF,498984500
438,LGIL,1600,Ashwin 2078,NADDF,498984500
439,NICL,1500,Ashwin 2078,NADDF,498984500
440,NLG,3730,Ashwin 2078,NADDF,498984500
441,PRIN,200,Ashwin 2078,NADDF,498984500
442,PIC,1250,Ashwin 2078,NADDF,498984500
443,PICL,2410,Ashwin 2078,NADDF,498984500
444,SICL,2566,Ashwin 2078,NADDF,498984500
445,SIL,1680,Ashwin 2078,NADDF,498984500
446,UIC,1500,Ashwin 2078,NADDF,498984500
447,NIL,3500,Ashwin 2078,NADDF,498984500
448,PSF,500000,Ashwin 2078,NADDF,498984500
449,KEF,300000,Ashwin 2078,NADDF,498984500
450,MKJC,684,Ashwin 2078,NADDF,498984500
451,PRVU,35964,Ashwin 2078,NBF2,1120000000
452,NBL,68182,Ashwin 2078,NBF2,1120000000
453,SRBL,47748,Ashwin 2078,NBF2,1120000000
454,NICA,37578,Ashwin 2078,NBF2,1120000000
455,MEGA,46907,Ashwin 2078,NBF2,1120000000
456,MBL,36860,Ashwin 2078,NBF2,1120000000
457,ADBL,53376,Ashwin 2078,NBF2,1120000000
458,SANIMA,37832,Ashwin 2078,NBF2,1120000000
459,GBIME,56746,Ashwin 2078,NBF2,1120000000
460,NIBPO,82870,Ashwin 2078,NBF2,1120000000
461,PCBL,40000,Ashwin 2078,NBF2,1120000000
462,BOKL,58204,Ashwin 2078,NBF2,1120000000
463,CZBIL,43158,Ashwin 2078,NBF2,1120000000
464,CCBL,52571,Ashwin 2078,NBF2,1120000000
465,NCCB,52943,Ashwin 2078,NBF2,1120000000
466,HBL,24715,Ashwin 2078,NBF2,1120000000
467,NMB,24765,Ashwin 2078,NBF2,1120000000
468,EBL,12486,Ashwin 2078,NBF2,1120000000
469,NBB,20000,Ashwin 2078,NBF2,1120000000
470,GBBL,30212,Ashwin 2078,NBF2,1120000000
471,SHINE,25049,Ashwin 2078,NBF2,1120000000
472,KSBBL,5428,Ashwin 2078,NBF2,1120000000
473,JBBL,27517,Ashwin 2078,NBF2,1120000000
474,MNBBL,17669,Ashwin 2078,NBF2,1120000000
475,MLBL,7358,Ashwin 2078,NBF2,1120000000
476,MFIL,6000,Ashwin 2078,NBF2,1120000000
477,CBBL,11383,Ashwin 2078,NBF2,1120000000
478,RMDC,6585,Ashwin 2078,NBF2,1120000000
479,MERO,4858,Ashwin 2078,NBF2,1120000000
480,SKBBL,10000,Ashwin 2078,NBF2,1120000000
481,AKBSL,765,Ashwin 2078,NBF2,1120000000
482,NICLBSL,5000,Ashwin 2078,NBF2,1120000000
483,SDLBSL,8111,Ashwin 2078,NBF2,1120000000
484,FMDBL,12785,Ashwin 2078,NBF2,1120000000
485,SAMAJ,185,Ashwin 2078,NBF2,1120000000
486,NADEP,6423,Ashwin 2078,NBF2,1120000000
487,LLBS,2060,Ashwin 2078,NBF2,1120000000
488,SMFDB,2534,Ashwin 2078,NBF2,1120000000
489,CLBSL,2629,Ashwin 2078,NBF2,1120000000
490,MLBSL,859,Ashwin 2078,NBF2,1120000000
491,ALBSL,7814,Ashwin 2078,NBF2,1120000000
