,Stock,Quantity,Month,MFundName,Fund Size
273,CBBL,11479,Kartik 2078,LEMF,1250000000
274,CBL,50762,Kartik 2078,LEMF,1250000000
275,CCBL,58480,Kartik 2078,LEMF,1250000000
276,CHCL,36642,Kartik 2078,LEMF,1250000000
277,CIT,1377,Kartik 2078,LEMF,1250000000
278,CZBIL,40633,Kartik 2078,LEMF,1250000000
279,CMF1,1025435,Kartik 2078,LEMF,1250000000
280,EBL,49906,Kartik 2078,LEMF,1250000000
281,EDBL,6,Kartik 2078,LEMF,1250000000
282,GBIME,78975,Kartik 2078,LEMF,1250000000
283,GIC,1959,Kartik 2078,LEMF,1250000000
284,GBLBS,13369,Kartik 2078,LEMF,1250000000
285,GLICL,47973,Kartik 2078,LEMF,1250000000
286,HBL,24136,Kartik 2078,LEMF,1250000000
287,HGI,39351,Kartik 2078,LEMF,1250000000
288,HDL,7682,Kartik 2078,LEMF,1250000000
289,IGI,1,Kartik 2078,LEMF,1250000000
290,JBLB,4996,Kartik 2078,LEMF,1250000000
291,JLI,7538,Kartik 2078,LEMF,1250000000
292,KBL,10301,Kartik 2078,LEMF,1250000000
293,LGIL,8816,Kartik 2078,LEMF,1250000000
294,MSLB,95,Kartik 2078,LEMF,1250000000
295,MLBS,924,Kartik 2078,LEMF,1250000000
296,MBL,46313,Kartik 2078,LEMF,1250000000
297,MMFDB,1988,Kartik 2078,LEMF,1250000000
298,MNBBL,456,Kartik 2078,LEMF,1250000000
299,NABIL,6652,Kartik 2078,LEMF,1250000000
300,NBF2,450000,Kartik 2078,LEMF,1250000000
301,NLICL,46641,Kartik 2078,LEMF,1250000000
302,NBB,24998,Kartik 2078,LEMF,1250000000
303,NBL,33414,Kartik 2078,LEMF,1250000000
304,NCCB,5513,Kartik 2078,LEMF,1250000000
305,NIL,18314,Kartik 2078,LEMF,1250000000
306,NIFRA,238909,Kartik 2078,LEMF,1250000000
307,NICL,19698,Kartik 2078,LEMF,1250000000
308,NIBPO,57448,Kartik 2078,LEMF,1250000000
309,NLIC,9825,Kartik 2078,LEMF,1250000000
310,NRIC,14706,Kartik 2078,LEMF,1250000000
311,NICA,16495,Kartik 2078,LEMF,1250000000
312,NICLBSL,1266,Kartik 2078,LEMF,1250000000
313,NLBBL,200,Kartik 2078,LEMF,1250000000
314,NLG,19911,Kartik 2078,LEMF,1250000000
315,NMBMF,1,Kartik 2078,LEMF,1250000000
316,NMB,39533,Kartik 2078,LEMF,1250000000
317,NRN,9500,Kartik 2078,LEMF,1250000000
318,NTC,1000,Kartik 2078,LEMF,1250000000
319,NUBL,12108,Kartik 2078,LEMF,1250000000
320,PCBL,44251,Kartik 2078,LEMF,1250000000
