,Stock,Quantity,Month,MFundName,%age holdings
48,GILB,100,Bhadra 2078,CMF1,5.9772613025528285e-05
49,NMFBS,350,Bhadra 2078,CMF1,0.000209204145589349
50,SABSL,7,Bhadra 2078,CMF1,4.18408291178698e-06
51,SWBBL,16802,Bhadra 2078,CMF1,0.010042994440549263
52,MKLB,898,Bhadra 2078,CMF1,0.000536758064969244
53,JBLB,4463,Bhadra 2078,CMF1,0.0026676517193293275
54,FOWAD,2678,Bhadra 2078,CMF1,0.0016007105768236474
55,SKBBL,9904,Bhadra 2078,CMF1,0.005919879594048321
56,NIL,14026,Bhadra 2078,CMF1,0.008383706702960597
57,NLG,1900,Bhadra 2078,CMF1,0.0011356796474850375
58,PICL,2,Bhadra 2078,CMF1,1.1954522605105657e-06
59,PRIN,1,Bhadra 2078,CMF1,5.977261302552828e-07
60,SICL,19403,Bhadra 2078,CMF1,0.011597680105343254
61,PIC,12019,Bhadra 2078,CMF1,0.0071840703595382445
62,SIC,10882,Bhadra 2078,CMF1,0.006504455749437988
63,SIL,9845,Bhadra 2078,CMF1,0.00588461375236326
64,NBF2,451040,Bhadra 2078,CMF1,0.2695983937903428
65,NIBLSF,250000,Bhadra 2078,CMF1,0.14943153256382072
66,HDL,360,Bhadra 2078,CMF1,0.00021518140689190182
67,CIT,696,Bhadra 2078,CMF1,0.0004160173866576769
68,NTC,4,Bhadra 2078,CMF1,2.3909045210211314e-06
69,SAMAJ,195,Bhadra 2078,CMF1,0.00011655659539978015
70,MLBS,844,Bhadra 2078,CMF1,0.0005044808539354588
71,TPCL,1714,Bhadra 2078,CMF1,0.0010245025872575547
72,MKJVCL,1578,Bhadra 2078,CMF1,0.0009432118335428363
73,BNHC,1600,Bhadra 2078,CMF1,0.0009563618084084526
74,SAHAS,14000,Bhadra 2078,CMF1,0.00836816582357396
75,MEGAMF1,50000,Bhadra 2078,CMF1,0.02988630651276414
76,ADBL,16800,Bhadra 2078,CMF2,0.01438417740485466
77,EBL,200,Bhadra 2078,CMF2,0.0001712402072006507
78,GBIME,43774,Bhadra 2078,CMF2,0.03747934415000642
79,HBL,22270,Bhadra 2078,CMF2,0.019067597071792456
80,KBL,40900,Bhadra 2078,CMF2,0.03501862237253307
81,LBL,600,Bhadra 2078,CMF2,0.0005137206216019522
82,MEGA,34000,Bhadra 2078,CMF2,0.02911083522411062
83,NABIL,46093,Bhadra 2078,CMF2,0.039464874352497965
84,NBB,2200,Bhadra 2078,CMF2,0.0018836422792071579
85,NBL,7599,Bhadra 2078,CMF2,0.0065062716725887235
